site,model,inference,baseline_pe,baseline_lb,baseline_ub,naive_pe,naive_lb,naive_ub,ppi_plus_plus_pe,ppi_plus_plus_lb,ppi_plus_plus_ub
mexico,KNN,baseline,1,2,3,4,5,6,7,8,9
mexico,KNN,naive,1,2,3,4,5,6,7,8,9
mexico,KNN,ppi_plus_plus,1,2,3,4,5,6,7,8,9
mexico,SVM,baseline,1,2,3,4,5,6,7,8,9
mexico,SVM,naive,1,2,3,4,5,6,7,8,9
mexico,SVM,ppi_plus_plus,1,2,3,4,5,6,7,8,9
mexico,NB,baseline,1,2,3,4,5,6,7,8,9
mexico,NB,naive,1,2,3,4,5,6,7,8,9
mexico,NB,ppi_plus_plus,1,2,3,4,5,6,7,8,9
mexico,bert,baseline,1,2,3,4,5,6,7,8,9
mexico,bert,naive,1,2,3,4,5,6,7,8,9
mexico,bert,ppi_plus_plus,1,2,3,4,5,6,7,8,9
mexico,gpt4_zs,baseline,1,2,3,4,5,6,7,8,9
mexico,gpt4_zs,naive,1,2,3,4,5,6,7,8,9
mexico,gpt4_zs,ppi_plus_plus,1,2,3,4,5,6,7,8,9
ap,KNN,baseline,1,2,3,4,5,6,7,8,9
ap,KNN,naive,1,2,3,4,5,6,7,8,9
ap,KNN,ppi_plus_plus,1,2,3,4,5,6,7,8,9
ap,SVM,baseline,1,2,3,4,5,6,7,8,9
ap,SVM,naive,1,2,3,4,5,6,7,8,9
ap,SVM,ppi_plus_plus,1,2,3,4,5,6,7,8,9
ap,NB,baseline,1,2,3,4,5,6,7,8,9
ap,NB,naive,1,2,3,4,5,6,7,8,9
ap,NB,ppi_plus_plus,1,2,3,4,5,6,7,8,9
ap,bert,baseline,1,2,3,4,5,6,7,8,9
ap,bert,naive,1,2,3,4,5,6,7,8,9
ap,bert,ppi_plus_plus,1,2,3,4,5,6,7,8,9
ap,gpt4_zs,baseline,1,2,3,4,5,6,7,8,9
ap,gpt4_zs,naive,1,2,3,4,5,6,7,8,9
ap,gpt4_zs,ppi_plus_plus,1,2,3,4,5,6,7,8,9
up,KNN,baseline,1,2,3,4,5,6,7,8,9
up,KNN,naive,1,2,3,4,5,6,7,8,9
up,KNN,ppi_plus_plus,1,2,3,4,5,6,7,8,9
up,SVM,baseline,1,2,3,4,5,6,7,8,9
up,SVM,naive,1,2,3,4,5,6,7,8,9
up,SVM,ppi_plus_plus,1,2,3,4,5,6,7,8,9
up,NB,baseline,1,2,3,4,5,6,7,8,9
up,NB,naive,1,2,3,4,5,6,7,8,9
up,NB,ppi_plus_plus,1,2,3,4,5,6,7,8,9
up,bert,baseline,1,2,3,4,5,6,7,8,9
up,bert,naive,1,2,3,4,5,6,7,8,9
up,bert,ppi_plus_plus,1,2,3,4,5,6,7,8,9
up,gpt4_zs,baseline,1,2,3,4,5,6,7,8,9
up,gpt4_zs,naive,1,2,3,4,5,6,7,8,9
up,gpt4_zs,ppi_plus_plus,1,2,3,4,5,6,7,8,9
dar,KNN,baseline,1,2,3,4,5,6,7,8,9
dar,KNN,naive,1,2,3,4,5,6,7,8,9
dar,KNN,ppi_plus_plus,1,2,3,4,5,6,7,8,9
dar,SVM,baseline,1,2,3,4,5,6,7,8,9
dar,SVM,naive,1,2,3,4,5,6,7,8,9
dar,SVM,ppi_plus_plus,1,2,3,4,5,6,7,8,9
dar,NB,baseline,1,2,3,4,5,6,7,8,9
dar,NB,naive,1,2,3,4,5,6,7,8,9
dar,NB,ppi_plus_plus,1,2,3,4,5,6,7,8,9
dar,bert,baseline,1,2,3,4,5,6,7,8,9
dar,bert,naive,1,2,3,4,5,6,7,8,9
dar,bert,ppi_plus_plus,1,2,3,4,5,6,7,8,9
dar,gpt4_zs,baseline,1,2,3,4,5,6,7,8,9
dar,gpt4_zs,naive,1,2,3,4,5,6,7,8,9
dar,gpt4_zs,ppi_plus_plus,1,2,3,4,5,6,7,8,9
bohol,KNN,baseline,1,2,3,4,5,6,7,8,9
bohol,KNN,naive,1,2,3,4,5,6,7,8,9
bohol,KNN,ppi_plus_plus,1,2,3,4,5,6,7,8,9
bohol,SVM,baseline,1,2,3,4,5,6,7,8,9
bohol,SVM,naive,1,2,3,4,5,6,7,8,9
bohol,SVM,ppi_plus_plus,1,2,3,4,5,6,7,8,9
bohol,NB,baseline,1,2,3,4,5,6,7,8,9
bohol,NB,naive,1,2,3,4,5,6,7,8,9
bohol,NB,ppi_plus_plus,1,2,3,4,5,6,7,8,9
bohol,bert,baseline,1,2,3,4,5,6,7,8,9
bohol,bert,naive,1,2,3,4,5,6,7,8,9
bohol,bert,ppi_plus_plus,1,2,3,4,5,6,7,8,9
bohol,gpt4_zs,baseline,1,2,3,4,5,6,7,8,9
bohol,gpt4_zs,naive,1,2,3,4,5,6,7,8,9
bohol,gpt4_zs,ppi_plus_plus,1,2,3,4,5,6,7,8,9
pemba,KNN,baseline,1,2,3,4,5,6,7,8,9
pemba,KNN,naive,1,2,3,4,5,6,7,8,9
pemba,KNN,ppi_plus_plus,1,2,3,4,5,6,7,8,9
pemba,SVM,baseline,1,2,3,4,5,6,7,8,9
pemba,SVM,naive,1,2,3,4,5,6,7,8,9
pemba,SVM,ppi_plus_plus,1,2,3,4,5,6,7,8,9
pemba,NB,baseline,1,2,3,4,5,6,7,8,9
pemba,NB,naive,1,2,3,4,5,6,7,8,9
pemba,NB,ppi_plus_plus,1,2,3,4,5,6,7,8,9
pemba,bert,baseline,1,2,3,4,5,6,7,8,9
pemba,bert,naive,1,2,3,4,5,6,7,8,9
pemba,bert,ppi_plus_plus,1,2,3,4,5,6,7,8,9
pemba,gpt4_zs,baseline,1,2,3,4,5,6,7,8,9
pemba,gpt4_zs,naive,1,2,3,4,5,6,7,8,9
pemba,gpt4_zs,ppi_plus_plus,1,2,3,4,5,6,7,8,9
