Y,Y_hat,X
4,4,24
4,4,62
4,4,48
4,4,35
4,4,20
4,4,30
2,2,56
4,4,44
4,4,32
4,4,55
4,4,25
4,4,60
4,4,40
4,4,82
4,4,22
4,4,69
4,4,45
4,4,18
4,4,15
4,4,21
2,2,45
4,4,19
4,4,38
4,4,35
4,4,52
4,4,40
4,4,26
4,4,70
4,4,70
4,4,40
2,2,69
4,4,18
4,4,50
4,4,25
4,4,49
4,4,41
4,4,86
4,4,60
2,2,26
2,2,22
4,4,60
4,4,20
4,4,80
4,4,34
4,4,62
4,4,32
4,4,54
4,4,45
4,4,58
4,4,43
2,2,22
4,4,60
2,2,25
4,4,20
4,4,41
2,2,80
4,4,68
4,4,24
4,4,25
4,4,48
4,4,27
2,2,46
2,2,17
4,4,30
4,4,38
4,4,30
2,2,65
4,4,35
4,4,44
4,4,70
4,4,90
2,2,67
4,4,54
2,2,40
4,4,55
4,4,41
2,2,73
4,4,49
4,4,23
2,2,22
4,4,22
2,2,25
2,2,60
2,2,75
4,4,50
2,2,32
4,4,24
4,4,24
4,4,40
4,4,34
2,2,55
4,4,32
2,2,36
2,2,22
4,4,43
2,2,49
4,4,62
4,4,26
2,2,37
4,4,17
2,2,25
2,2,24
2,2,50
4,4,80
4,4,43
4,4,52
4,4,80
4,4,37
4,4,74
4,4,70
4,4,76
4,4,80
4,4,66
4,4,41
4,4,80
4,4,45
4,4,37
4,4,62
4,4,30
2,2,19
4,4,70
4,4,46
4,4,42
4,4,78
4,4,55
4,4,19
4,4,60
4,4,45
4,4,60
2,2,60
4,4,62
4,4,37
2,2,60
4,4,28
4,4,55
4,4,64
4,4,50
4,4,25
2,2,28
4,4,55
4,4,51
4,4,55
4,4,41
2,2,30
4,4,73
4,4,65
2,2,31
4,4,20
2,2,26
4,4,38
4,4,45
2,2,36
2,2,38
4,4,60
4,4,80
2,2,22
4,4,70
4,4,73
2,2,52
4,4,63
4,4,50
4,4,60
4,4,27
2,2,52
2,2,38
2,2,27
4,4,28
2,2,39
2,2,28
4,4,35
4,4,60
4,4,85
4,4,65
4,4,35
2,2,22
4,4,57
4,4,22
4,4,80
4,4,44
2,2,25
2,2,54
4,4,15
4,4,42
4,4,22
4,4,36
4,4,40
4,4,52
4,4,84
4,4,37
4,4,47
4,4,50
2,2,39
4,4,24
4,4,52
2,2,43
4,4,35
4,4,40
4,4,17
4,4,20
4,4,56
4,4,42
4,4,54
4,4,23
4,4,55
4,4,37
4,4,68
4,4,80
4,4,54
4,4,65
4,4,50
2,2,49
4,4,54
4,4,55
4,4,23
4,4,38
4,4,21
4,4,35
4,4,48
4,4,38
2,2,44
2,2,45
4,4,78
4,4,30
4,4,35
2,2,35
2,2,35
4,4,48
4,4,35
4,4,55
4,4,21
4,4,70
2,2,25
4,4,19
4,4,59
4,4,56
4,4,32
2,2,35
4,4,75
4,4,65
4,4,73
4,4,56
4,4,70
4,4,52
4,4,46
4,4,67
4,4,40
2,2,70
4,4,60
4,4,30
2,2,48
4,4,40
4,4,18
4,4,40
4,4,26
4,4,53
4,4,71
4,4,42
4,4,62
2,2,28
4,4,40
2,2,24
4,4,40
2,2,25
4,4,33
2,2,45
4,4,80
4,4,60
2,2,79
4,4,25
4,4,36
4,4,32
4,4,18
2,2,23
4,4,14
4,4,39
4,4,40
4,4,38
4,4,23
4,4,35
4,4,60
4,4,80
4,4,33
4,4,65
4,4,35
2,2,45
4,4,39
4,4,64
4,4,51
4,4,46
4,4,53
4,4,24
4,4,65
4,4,25
4,4,49
4,4,20
2,2,48
4,4,25
4,4,24
4,4,62
4,4,48
4,4,48
2,2,57
2,2,20
4,4,62
4,4,47
4,4,46
4,4,55
4,4,67
2,2,28
4,4,20
4,4,35
4,4,37
4,4,50
4,4,54
4,4,63
4,4,35
4,4,40
2,2,29
4,4,28
4,4,25
4,4,71
4,4,30
4,4,65
4,4,48
4,4,57
4,4,63
2,2,85
4,4,24
4,4,62
4,4,69
4,4,40
4,4,17
4,4,22
4,4,35
2,2,74
4,4,31
4,4,31
4,4,46
4,4,52
4,4,17
4,4,18
4,4,25
2,2,31
4,4,70
4,4,22
4,4,55
2,2,21
4,4,53
4,4,47
4,4,47
4,4,61
2,2,59
2,2,41
4,4,64
4,4,53
4,4,31
2,2,22
4,4,52
2,2,18
4,4,46
4,4,24
2,2,40
2,2,70
4,4,40
4,4,56
2,2,55
4,4,40
2,2,32
4,4,48
4,4,48
4,4,21
4,4,38
4,4,28
2,2,28
4,4,45
4,4,55
4,4,40
2,2,64
4,4,55
4,4,29
4,4,31
2,2,35
4,4,27
4,4,74
4,4,52
4,4,34
4,4,66
4,4,49
4,4,72
4,4,56
4,4,29
4,4,50
2,2,40
4,4,46
4,4,38
4,4,64
4,4,55
4,4,25
4,4,46
4,4,56
2,2,70
4,4,22
4,4,35
4,4,38
2,2,33
2,2,23
4,4,52
4,4,48
2,2,45
4,4,35
4,4,38
4,4,45
2,2,50
4,4,23
4,4,25
4,4,49
2,2,19
2,2,27
4,4,65
4,4,29
4,4,27
4,4,29
4,4,43
4,4,65
4,4,50
4,4,24
4,4,44
2,2,17
2,2,69
4,4,53
4,4,55
4,4,16
2,2,50
4,4,65
4,4,61
4,4,70
4,4,29
4,4,60
4,4,64
4,4,61
4,4,42
4,4,70
4,4,26
4,4,33
2,2,30
4,4,54
4,4,49
4,4,17
2,2,47
4,4,27
2,2,30
4,4,75
4,4,20
4,4,50
4,4,50
4,4,20
4,4,34
2,2,19
4,4,46
4,4,64
4,4,42
2,2,60
4,4,29
4,4,17
4,4,38
4,4,31
4,4,40
4,4,19
4,4,63
4,4,70
4,4,58
4,4,40
4,4,62
4,4,73
2,2,27
4,4,73
4,4,45
4,4,58
2,2,26
4,4,52
4,4,62
4,4,28
4,4,38
4,4,28
4,4,38
4,4,53
4,4,55
4,4,57
4,4,54
2,2,48
2,2,66
4,4,23
2,2,20
2,2,35
4,4,18
2,2,84
4,4,58
4,4,26
4,4,61
4,4,62
2,2,21
4,4,35
4,4,60
4,4,70
4,4,33
4,4,67
4,4,55
4,4,65
2,2,23
4,4,75
4,4,41
4,4,70
4,4,27
2,2,16
4,4,35
2,2,25
4,4,55
2,2,15
4,4,69
2,2,61
4,4,30
4,4,64
4,4,27
4,4,34
4,4,68
4,4,22
2,2,35
4,4,24
4,4,31
4,4,35
4,4,55
4,4,82
4,4,56
4,4,63
4,4,16
4,4,23
4,4,65
2,2,49
4,4,70
4,4,81
2,2,38
4,4,50
4,4,48
4,4,18
4,4,50
4,4,58
4,4,27
4,4,55
4,4,30
4,4,59
2,2,65
4,4,56
4,4,66
4,4,76
4,4,50
4,4,47
4,4,65
4,4,35
4,4,49
2,2,81
4,4,35
4,4,38
4,4,45
2,2,31
4,4,30
4,4,25
4,4,55
4,4,50
4,4,28
4,4,47
4,4,45
2,2,77
4,4,62
2,2,61
4,4,54
4,4,54
4,4,32
4,4,51
4,4,50
4,4,45
4,4,45
4,4,70
4,4,35
4,4,35
4,4,80
4,4,43
4,4,49
4,4,99
2,2,35
2,2,40
4,4,75
2,2,28
2,2,34
4,4,54
4,4,70
4,4,40
4,4,27
4,4,46
2,2,23
4,4,35
4,4,50
4,4,36
4,4,56
4,4,73
4,4,18
4,4,67
4,4,22
4,4,70
2,2,23
4,4,50
4,4,36
4,4,71
4,4,35
4,4,62
2,2,65
2,2,47
4,4,57
4,4,27
4,4,64
4,4,79
4,4,45
4,4,60
4,4,60
2,2,42
4,4,34
2,2,17
4,4,47
4,4,54
4,4,36
4,4,60
4,4,32
2,2,24
4,4,22
4,4,32
4,4,53
4,4,65
2,2,35
4,4,43
2,2,42
4,4,67
4,4,44
4,4,52
4,4,40
4,4,26
4,4,13
4,4,75
4,4,30
2,2,30
4,4,23
4,4,60
4,4,26
4,4,38
4,4,72
4,4,73
4,4,23
4,4,52
4,4,25
4,4,60
4,4,60
2,2,40
2,2,50
2,2,35
4,4,37
4,4,24
4,4,41
4,4,40
2,2,30
4,4,90
4,4,74
4,4,43
4,4,68
2,2,48
4,4,56
2,2,20
4,4,35
4,4,39
4,4,21
4,4,22
4,4,49
4,4,18
4,4,23
4,4,50
4,4,60
4,4,36
2,2,91
4,4,70
4,4,38
4,4,48
2,2,24
4,4,40
2,2,60
2,2,66
4,4,75
4,4,55
4,4,26
4,4,54
4,4,21
4,4,36
4,4,57
4,4,50
4,4,76
2,2,60
4,4,23
2,2,59
4,4,26
4,4,12
2,2,66
4,4,30
2,2,30
4,4,25
4,4,39
4,4,32
4,4,70
4,4,55
2,2,25
4,4,60
2,2,45
2,2,51
2,2,65
4,4,75
4,4,33
4,4,40
2,2,24
4,4,35
4,4,37
4,4,47
4,4,62
4,4,70
4,4,35
2,2,38
4,4,78
2,2,33
2,2,23
4,4,47
4,4,71
4,4,44
4,4,61
4,4,30
4,4,19
4,4,55
4,4,24
2,2,54
4,4,60
4,4,33
4,4,45
2,2,25
4,4,65
4,4,50
4,4,40
4,4,62
4,4,17
4,4,40
4,4,70
4,4,38
4,4,52
4,4,46
4,4,77
4,4,40
4,4,36
4,4,50
4,4,69
4,4,50
4,4,61
4,4,22
4,4,32
4,4,45
4,4,45
4,4,22
4,4,66
2,2,35
2,2,38
4,4,72
4,4,35
4,4,65
4,4,30
4,4,53
2,2,41
4,4,42
4,4,45
2,2,80
4,4,30
2,2,52
2,2,30
4,4,26
4,4,40
4,4,40
4,4,74
4,4,76
2,2,20
4,4,86
4,4,65
4,4,60
4,4,24
4,4,42
4,4,70
2,2,41
2,2,27
4,4,18
4,4,56
4,4,66
4,4,38
4,4,44
4,4,19
4,4,60
2,2,65
4,4,47
4,4,39
4,4,66
4,4,74
4,4,24
4,4,73
4,4,65
4,4,70
4,4,74
