Y,X,Y_hat
4,65,4
4,33,4
0,44,0
1,35,4
2,23,2
2,32,2
4,74,4
4,52,4
4,86,4
0,31,4
2,27,2
2,22,2
1,27,1
4,44,4
1,64,4
0,44,4
4,65,4
4,45,4
0,40,2
4,46,4
2,29,4
4,43,4
4,29,4
4,18,1
2,25,4
4,26,0
3,25,4
4,16,4
4,46,4
1,14,4
4,85,4
4,60,4
4,60,4
0,47,4
3,29,3
2,55,0
4,44,4
1,40,0
4,50,4
0,43,4
0,36,2
4,62,4
0,35,4
4,25,4
1,80,4
0,40,0
2,30,2
4,77,4
4,24,4
4,57,0
3,29,3
1,41,4
4,60,4
4,53,4
4,27,4
4,36,2
2,31,2
3,27,4
4,58,4
4,35,4
4,27,0
4,49,4
4,62,4
4,69,4
2,28,4
1,35,1
4,41,4
4,32,4
1,55,4
0,43,4
4,66,4
4,32,4
4,54,4
4,35,4
2,37,4
4,51,4
4,58,4
4,52,4
3,21,3
2,26,2
4,47,4
0,22,0
2,35,4
0,43,0
4,42,4
4,47,4
1,35,1
4,75,4
2,22,4
1,40,0
0,30,4
4,75,4
0,40,1
4,19,4
4,36,4
4,40,4
4,63,4
0,62,4
0,34,4
4,73,4
4,38,4
1,32,0
4,77,4
2,24,2
2,33,4
4,58,4
4,32,4
4,75,4
4,60,4
4,48,4
0,44,4
0,35,0
4,31,4
4,65,4
4,35,4
2,29,2
2,24,2
1,65,4
2,19,2
4,28,4
2,18,4
4,18,4
4,54,4
4,42,4
4,38,4
0,37,4
1,75,4
4,31,4
4,102,4
2,18,2
4,76,4
2,26,4
4,54,4
4,42,1
4,40,4
4,24,4
4,18,4
4,57,4
0,54,4
1,62,4
0,42,4
4,41,4
4,75,4
3,30,3
0,37,0
0,54,4
4,43,4
4,29,4
3,19,2
4,70,4
4,68,2
4,54,4
4,65,4
0,48,2
4,14,4
2,26,2
1,38,1
4,67,4
4,65,4
2,33,2
2,23,4
1,27,0
4,57,4
4,35,4
2,35,4
1,28,4
1,32,0
4,13,4
1,60,4
4,60,4
4,31,4
4,80,4
1,47,4
2,30,2
1,59,4
0,32,0
1,17,1
1,58,4
4,72,4
4,46,4
1,36,1
0,58,0
4,72,4
0,33,4
4,77,4
0,40,4
4,49,4
4,60,4
4,53,4
4,55,4
0,42,1
4,41,4
4,51,4
4,48,4
4,56,4
4,50,4
4,46,4
4,56,4
3,33,4
4,27,4
2,20,4
1,76,4
4,86,4
4,30,4
0,40,4
1,50,0
4,60,4
4,57,2
4,87,4
4,85,4
3,20,4
4,35,4
4,75,4
4,68,4
4,77,4
0,35,0
1,27,1
4,17,4
4,27,4
4,41,4
4,79,4
3,32,0
4,49,4
4,53,4
4,67,4
4,80,4
1,42,1
4,58,4
2,20,2
0,45,4
4,60,2
4,55,4
4,57,4
4,75,4
4,37,0
0,81,4
4,71,4
4,51,4
2,51,4
0,43,4
4,72,4
4,36,0
4,40,4
4,55,4
4,33,4
1,32,4
0,60,4
0,56,0
4,44,4
0,46,4
4,80,4
2,15,2
4,54,4
4,41,4
2,12,2
4,79,4
2,18,2
4,52,4
2,12,2
1,22,0
0,30,4
3,35,3
4,48,4
2,13,2
0,35,4
4,73,4
0,34,0
4,37,4
0,34,0
4,59,4
1,54,1
0,19,4
4,38,4
1,31,4
4,79,4
4,45,0
4,20,1
3,16,4
2,23,2
4,34,4
4,67,4
4,75,4
4,28,4
1,75,4
0,32,4
4,75,4
4,57,4
4,37,4
1,30,1
4,35,4
4,26,4
2,14,2
4,45,4
1,35,4
4,88,4
2,27,2
1,39,4
4,68,4
0,35,4
3,23,3
3,25,2
1,74,4
4,54,2
4,41,4
4,55,4
2,40,2
4,13,4
3,29,4
0,41,4
0,16,4
3,35,1
0,41,4
4,19,3
3,24,3
4,43,4
4,74,4
0,40,0
4,17,4
4,70,4
1,48,1
4,60,4
2,26,2
4,63,4
4,55,4
0,46,4
2,47,2
4,62,4
4,72,4
3,27,2
4,78,4
4,59,4
0,44,4
3,25,4
4,35,4
4,48,4
4,16,4
4,58,4
3,28,3
4,49,2
2,12,2
2,45,2
4,54,4
1,35,0
4,60,4
4,58,4
4,50,4
0,55,4
1,36,4
4,51,4
4,24,4
4,52,4
4,65,4
0,57,0
3,25,4
3,18,0
2,25,2
4,46,4
2,27,4
4,32,4
0,64,2
1,42,4
2,27,2
1,33,0
0,20,4
4,56,4
4,85,4
2,30,2
4,47,4
4,22,2
4,47,4
4,91,4
4,38,4
4,12,4
1,13,1
4,42,4
4,62,4
4,48,4
2,30,4
4,34,4
4,25,2
3,22,4
4,51,4
4,69,4
4,76,4
4,30,4
4,71,4
0,48,0
4,76,4
4,45,2
4,38,1
4,49,4
1,24,4
1,80,4
4,76,4
3,27,3
4,36,4
4,65,4
3,27,4
2,23,4
4,54,4
4,40,4
1,35,0
1,42,4
4,53,4
1,47,4
4,36,4
4,23,4
0,49,0
4,31,4
4,56,4
3,29,4
4,34,4
4,75,4
2,13,2
0,34,4
1,32,2
4,51,4
4,70,4
4,58,4
0,41,4
3,29,4
2,22,2
1,37,1
4,50,4
2,36,2
4,37,4
2,30,2
4,38,4
4,64,4
0,26,1
0,17,4
4,32,4
4,48,4
1,51,4
4,45,2
0,34,4
2,83,2
4,47,2
3,21,4
4,42,4
2,41,2
3,30,4
1,59,2
4,45,4
4,70,4
4,39,4
4,87,4
0,24,1
3,29,3
1,50,0
4,55,4
4,42,4
4,41,4
4,51,4
2,26,2
0,25,0
4,30,4
4,42,4
3,30,0
4,60,4
4,48,4
1,32,1
4,65,4
4,92,4
4,56,2
4,59,4
4,27,3
0,28,4
4,30,1
0,52,4
4,54,4
3,24,4
2,24,2
0,26,4
4,49,4
0,48,4
0,61,4
4,24,4
0,40,4
1,72,1
2,25,2
3,27,4
1,66,1
4,36,2
3,23,3
4,24,4
4,60,4
4,40,4
1,38,1
0,47,2
4,42,4
4,51,4
4,75,4
4,56,4
3,20,3
4,43,4
1,33,4
0,40,4
4,43,4
4,60,2
4,43,4
4,55,4
4,71,4
4,73,4
4,60,4
1,36,4
3,18,3
4,36,4
1,54,4
1,33,4
4,20,4
4,38,4
4,20,4
4,46,4
2,26,2
4,47,4
4,33,4
4,46,4
0,81,4
1,31,4
0,36,0
1,35,0
1,28,4
4,58,4
4,46,4
4,57,4
4,19,4
1,12,0
4,55,4
0,30,1
4,45,0
0,30,0
1,35,4
1,13,0
1,43,1
0,45,2
3,21,4
0,51,4
0,30,4
0,30,1
